time,level,message
"2025-10-17 11:02:11,074",INFO,"Epoch 52 finished in 12.1s
"
"2025-10-17 11:02:21,630",INFO,"Epoch 53 | Train Loss: 0.0694
"
"2025-10-17 11:02:23,147",INFO,"Epoch 53 | Val Loss: 0.0793 | Val IoU: 0.8764 (78/89)
"
"2025-10-17 11:02:23,148",INFO,"IoU未提升（当前:0.8764 最佳:0.8876），模型不保存
"
"2025-10-17 11:02:23,148",INFO,"Epoch 53 finished in 12.1s
"
"2025-10-17 11:02:33,654",INFO,"Epoch 54 | Train Loss: 0.0691
"
"2025-10-17 11:02:35,126",INFO,"Epoch 54 | Val Loss: 0.0744 | Val IoU: 0.8539 (76/89)
"
"2025-10-17 11:02:35,126",INFO,"IoU未提升（当前:0.8539 最佳:0.8876），模型不保存
"
"2025-10-17 11:02:35,126",INFO,"Epoch 54 finished in 12.0s
"
"2025-10-17 11:02:45,692",INFO,"Epoch 55 | Train Loss: 0.0697
"
"2025-10-17 11:02:47,228",INFO,"Epoch 55 | Val Loss: 0.0668 | Val IoU: 0.8989 (80/89)
"
"2025-10-17 11:02:47,235",INFO,"New best IoU: 0.8989 -> saved to ./checkpoints/20251017/best_iou_0.8989.pth
"
"2025-10-17 11:02:47,235",INFO,"Epoch 55 finished in 12.1s
"
"2025-10-17 11:02:57,760",INFO,"Epoch 56 | Train Loss: 0.0704
"
"2025-10-17 11:02:59,218",INFO,"Epoch 56 | Val Loss: 0.0833 | Val IoU: 0.8202 (73/89)
"
"2025-10-17 11:02:59,219",INFO,"IoU未提升（当前:0.8202 最佳:0.8989），模型不保存
"
"2025-10-17 11:02:59,219",INFO,"Epoch 56 finished in 12.0s
"
"2025-10-17 11:03:09,784",INFO,"Epoch 57 | Train Loss: 0.0751
"
"2025-10-17 11:03:11,239",INFO,"Epoch 57 | Val Loss: 0.0629 | Val IoU: 0.8539 (76/89)
"
"2025-10-17 11:03:11,240",INFO,"IoU未提升（当前:0.8539 最佳:0.8989），模型不保存
"
"2025-10-17 11:03:11,240",INFO,"Epoch 57 finished in 12.0s
"
"2025-10-17 11:03:21,788",INFO,"Epoch 58 | Train Loss: 0.0679
"
